number,word,example
6001.0,symposium,"The university is hosting a symposium on climate change next month, featuring experts from around the world."
6001.0,symposium,She presented her research at the international symposium on artificial intelligence.
6001.0,symposium,Attendance at the symposium is mandatory for all graduate students in the biology department.
6001.0,symposium,"After the symposium, the speakers gathered for an informal discussion and networking session."
6001.0,symposium,"The organizers are still finalizing the program for the symposium, but it promises to be a stimulating and informative event."
6002.0,broaden,Traveling to different countries can significantly broaden your perspective on life and other cultures.
6002.0,broaden,The company is offering training programs to broaden the skills of its employees in emerging technologies.
6002.0,broaden,Reading widely across different genres is a great way to broaden your vocabulary and improve your writing.
6002.0,broaden,She decided to take an online course to broaden her knowledge of marketing and social media strategies.
6002.0,broaden,Volunteering in the community helped him broaden his understanding of the challenges faced by vulnerable populations.
6003.0,ecology,The proposed development threatens the delicate ecology of the coastal wetlands.
6003.0,ecology,Understanding the principles of ecology is crucial for effective conservation efforts.
6003.0,ecology,She's studying the ecology of urban pigeons and their adaptation to city life.
6003.0,ecology,The professor's lecture focused on the complex interplay of organisms and their environment within a specific ecology.
6003.0,ecology,Changes in climate are having a profound impact on the ecology of coral reefs worldwide.
6004.0,circulate,The rumors about the company's bankruptcy began to circulate quickly after the CEO's resignation.
6004.0,circulate,Please circulate this memo to all department heads by the end of the day.
6004.0,circulate,Blood needs to circulate properly to ensure that all organs receive enough oxygen.
6004.0,circulate,I'm going to circulate at the party and try to meet some new people.
6004.0,circulate,The library decided to circulate the rare books only to researchers with special permission.
6005.0,corpse,The police discovered the corpse hidden in the trunk of the abandoned car.
6005.0,corpse,"A vulture circled overhead, a grim reminder of the decaying corpse lying in the desert sun."
6005.0,corpse,"The smell was unmistakable; even from a distance, we knew we were approaching a corpse."
6005.0,corpse,"After the battle, the field was littered with corpses, a testament to the brutal fighting."
6005.0,corpse,"The coroner carefully examined the corpse, searching for clues to determine the cause of death."
6006.0,marsh,"The old dirt road wound through the marsh, making the drive slow and bumpy."
6006.0,marsh,"We saw a great blue heron standing motionless in the marsh, patiently waiting to catch a fish."
6006.0,marsh,Developers are facing strong opposition to their plans to build a new shopping center on the edge of the marsh.
6006.0,marsh,The air hung thick and heavy with the earthy smell of decaying vegetation in the marsh.
6006.0,marsh,"After getting lost in the woods, they were relieved to finally emerge onto the open, grassy edge of the marsh."
6007.0,fingerprint,"The detective dusted the doorknob for fingerprints, hoping to find a match to the suspect."
6007.0,fingerprint,"Each person has a unique fingerprint, making it a reliable method of identification."
6007.0,fingerprint,Modern technology allows us to unlock our phones using our fingerprint instead of a password.
6007.0,fingerprint,"The artist left a fingerprint in the wet paint, a subtle mark of their presence."
6007.0,fingerprint,"His distinctive musical style is like a fingerprint, instantly recognizable to anyone familiar with his work."
6008.0,coincide,"My vacation dates happen to coincide with a major music festival, so I'm expecting big crowds."
6008.0,coincide,The release of the new software is scheduled to coincide with the industry conference.
6008.0,coincide,"It's rare that our schedules coincide, but when they do, we always make time to catch up."
6008.0,coincide,The increase in sales seems to coincide with the start of the new advertising campaign.
6008.0,coincide,"If the timings coincide, we could attend both the morning workshop and the afternoon presentation."
6009.0,plumber,We had to call a plumber because the kitchen sink was completely clogged.
6009.0,plumber,The plumber recommended replacing the old pipes to prevent future leaks.
6009.0,plumber,My uncle used to be a plumber before he retired and moved to Florida.
6009.0,plumber,"Finding a good, reliable plumber can be difficult, especially on short notice."
6009.0,plumber,She's training to be a plumber and is currently an apprentice with a local company.
6010.0,comprise,The committee will comprise representatives from various departments within the company.
6010.0,comprise,"Our solar system comprises the Sun, planets, moons, asteroids, and comets."
