word,source
a cappella,supervocab
aberrant,supervocab
aberration,supervocab
abettor,supervocab
abhor,supervocab
abide by,supervocab
abominate,supervocab
Aborigine,supervocab
abrogate,supervocab
absentee vote,supervocab
absenteeism,supervocab
absolutism,supervocab
abstain from,supervocab
abstinence,supervocab
abstruse,supervocab
abuse,supervocab
academic clique,supervocab
accede to,supervocab
acceleration,supervocab
accelerometer,supervocab
accentuate,supervocab
acceptance letter,supervocab
accessory,supervocab
accidentally,supervocab
accommodate,supervocab
accomplice,supervocab
acerbic,supervocab
acetic acid,supervocab
Achilles' tendon,supervocab
acid,supervocab
acknowledge,supervocab
acoustics,supervocab
acquiesce,supervocab
acquiesce in,supervocab
acquiescent,supervocab
acquitted of,supervocab
acrid,supervocab
acrimonious,supervocab
acronym,supervocab
act out,supervocab
act up,supervocab
acting chairperson,supervocab
active fault,supervocab
active power,supervocab
acumen,supervocab
acupuncture,supervocab
acute,supervocab
acute appendicitis,supervocab
adage,supervocab
adamant,supervocab
adaptation,supervocab
adapted for,supervocab
add up to,supervocab
address,supervocab
administer,supervocab
admonish,supervocab
adolescence,supervocab
adolescent,supervocab
adoption agency,supervocab
adorn,supervocab
adroit,supervocab
adulate,supervocab
adulation,supervocab
adulterate,supervocab
advent,supervocab
adverse,supervocab
advocacy,supervocab
advocacy group,supervocab
aerial cable,supervocab
aerodynamics,supervocab
affable,supervocab
affected,supervocab
affecting,supervocab
afﬁliated company,supervocab
afﬁnity,supervocab
afﬂicted with,supervocab
afﬂuent,supervocab
aftermath,supervocab
Agent Orange,supervocab
aggravated,supervocab
agility,supervocab
agitate,supervocab
agnosticism,supervocab
ailing,supervocab
air,supervocab
air bladder,supervocab
Air Force One,supervocab
air turbulence,supervocab
akin,supervocab
alacrity,supervocab
Alfred Adler,supervocab
alien species,supervocab
alkaline battery,supervocab
allegedly,supervocab
alligator,supervocab
alliteration,supervocab
alloy,supervocab
alma mater,supervocab
also-ran,supervocab
altercation,supervocab
alternating current,supervocab
altruism,supervocab
amalgamate,supervocab
ambiguous,supervocab
ambitious,supervocab
ambling,supervocab
ambrosial,supervocab
ambush,supervocab
ameliorate,supervocab
amenable,supervocab
amnesia,supervocab
amount to,supervocab
amputate,supervocab
analogous,supervocab
analogy,supervocab
anathema,supervocab
ancestor worship,supervocab
anchor baby,supervocab
ancillary,supervocab
anemia,supervocab
anemic,supervocab
anguish,supervocab
angular velocity,supervocab
animism,supervocab
animosity,supervocab
annelid,supervocab
annex,supervocab
annihilate,supervocab
annoyed,supervocab
anomalous,supervocab
anorexia nervosa,supervocab
answer,supervocab
antagonism,supervocab
antagonistic,supervocab
ante up,supervocab
anthropology,supervocab
antibiotic,supervocab
antipathy,supervocab
antiquated,supervocab
apartheid,supervocab
apathetic,supervocab
aphorism,supervocab
apocalyptic vision,supervocab
apogee,supervocab
apothegm,supervocab
apparition,supervocab
appeal,supervocab
appeasement policy,supervocab
applied voltage,supervocab
apply,supervocab
apportion,supervocab
approach,supervocab
appropriate,supervocab
appropriation,supervocab
apriori,supervocab
aquatic plants and animals,supervocab
aquifer,supervocab
arbitrage,supervocab
arbitrary layoff,supervocab
arbitrate,supervocab
arc welding,supervocab
arcane,supervocab
archive,supervocab
archivolt,supervocab
arduous,supervocab
arid,supervocab
arithmetic progression,supervocab
Armageddon,supervocab
arouse,supervocab
arrant,supervocab
arrest,supervocab
arrogance,supervocab
Art Nouveau,supervocab
arthropod,supervocab
articulate,supervocab
artiﬁcial insemination,supervocab
ascending order,supervocab
ascetic,supervocab
asexual reproduction,supervocab
aspect,supervocab
asphyxiate,supervocab
assail,supervocab
assault,supervocab
assent to,supervocab
assets and liabilities,supervocab
assimilate,supervocab
associate,supervocab
association,supervocab
assorted,supervocab
assuage,supervocab
astute,supervocab
atavism,supervocab
athlete's foot,supervocab
atmospheric pressure,supervocab
atoll,supervocab
atone for,supervocab
atopic dermatitis,supervocab
atrocious,supervocab
attenuator,supervocab
attest to,supervocab
audacious,supervocab
audacity,supervocab
audit,supervocab
auditor,supervocab
augment,supervocab
Auschwitz Concentration Camp,supervocab
austere,supervocab
authentic,supervocab
autocratic,supervocab
automated meteorological data acquisition system,supervocab
automatic transmission,supervocab
autonomic imbalance,supervocab
avalanche,supervocab
avaricious,supervocab
avatar,supervocab
aversion,supervocab
bachelor's degree,supervocab
back on,supervocab
back out,supervocab
back tax,supervocab
bafﬂed,supervocab
bail out,supervocab
balance of payment,supervocab
baleful,supervocab
balk,supervocab
balk at,supervocab
Balkanization,supervocab
ball bearing,supervocab
banal,supervocab
bank on,supervocab
banter,supervocab
baptism,supervocab
bar chart,supervocab
Bar Mitzvah,supervocab
bare,supervocab
bargain on,supervocab
bargaining power,supervocab
barometric altimeter,supervocab
Baroque,supervocab
barren,supervocab
basalt,supervocab
bashful,supervocab
basic catalyst,supervocab
basilica,supervocab
bask in,supervocab
battered wife,supervocab
bawdy,supervocab
be angling for,supervocab
be cut out for,supervocab
be decked out,supervocab
be dying for,supervocab
be ﬁred up for,supervocab
be gunning for,supervocab
be hemmed in by,supervocab
be itching for,supervocab
be laid up,supervocab
be psyched up for,supervocab
be roped into,supervocab
be sold on,supervocab
be spoiling for,supervocab
be steeped in,supervocab
be sucked in,supervocab
beak,supervocab
bear on,supervocab
bear out,supervocab
bearing,supervocab
bearish market,supervocab
beat oneself up,supervocab
bedeviled with,supervocab
beef up,supervocab
beefy,supervocab
beget,supervocab
belch,supervocab
belie,supervocab
bellicose,supervocab
belligerent,supervocab
belligerent countries,supervocab
bellow,supervocab
benign,supervocab
bequeath,supervocab
berserk,supervocab
beset with,supervocab
bestial,supervocab
bestow,supervocab
bevel gear,supervocab
biased,supervocab
big stick policy,supervocab
bigoted,supervocab
bigotry,supervocab
bilateral talks,supervocab
billed as,supervocab
binary system,supervocab
binge,supervocab
binuclear family,supervocab
biodegradable plastic,supervocab
biodiversity,supervocab
biomass energy,supervocab
biomimicry,supervocab
